"id","prefix","first_name","last_name","sort_name","suffix","birthdate"
1001,"Mr.","Ethan","Carter","Carter Ethan",NULL,"1985-03-12"
1002,"Ms.","Olivia","Bennett","Bennett Olivia",NULL,"1990-07-25"
1003,"Dr.","Liam","Patel","Patel Liam","PhD","1978-11-02"
1004,"Mrs.","Sophia","Reynolds","Reynolds Sophia",NULL,"1988-05-19"
1005,"Mr.","Noah","Kim","Kim Noah","Jr.","1995-09-30"
1006,"Ms.","Ava","Garcia","Garcia Ava",NULL,"1992-01-14"
1007,"Dr.","Mason","Nguyen","Nguyen Mason","MD","1980-06-08"
1008,"Mr.","Lucas","Turner","Turner Lucas",NULL,"1987-12-22"
1009,"Mx.","Harper","Collins","Collins Harper",NULL,"1998-04-03"
1010,"Ms.","Isabella","Lopez","Lopez Isabella",NULL,"1993-10-17"
1011,"Mr.","James","O’Connor","O’Connor James","Sr.","1975-02-27"
1012,"Dr.","Amelia","Chow","Chow Amelia","PhD","1983-08-11"
1013,"Mr.","Benjamin","Rossi","Rossi Benjamin",NULL,"1991-03-05"
1014,"Ms.","Mia","Peterson","Peterson Mia",NULL,"1996-07-29"
1015,"Prof.","Elijah","Das","Das Elijah",NULL,"1972-11-15"
1016,NULL,"Jean-Luc","Pierre-Louis","Pierre-Louis Jean-Luc",NULL,"1989-06-21"
1017,"Ms.","Ana María","de la Cruz","de la Cruz Ana María",NULL,"1994-02-10"
1018,NULL,"Chloé","D’Amico","D’Amico Chloé",NULL,"1997-09-03"
1019,"Mr.","Karl","van der Meer","van der Meer Karl",NULL,"1982-12-18"
1020,NULL,"Zoë","Ångström","Ångström Zoë",NULL,"1999-05-27"
1021,"Dr.","Mary-Kate","McAllister","McAllister Mary-Kate","III","1979-03-14"
1022,NULL,"Sean","MacDonald","MacDonald Sean",NULL,"1986-07-09"
1023,"Mx.","Luis Ángel","García-López","García-López Luis Ángel",NULL,"1993-11-30"
